,Actual Vegetable Intake,Actual Protein Intake,Actual Grain Intake,Actual Dairy Intake,Actual Fruit intakes,Actual Added Sugars Taken,Avg Fats oils and salad dressings taken,ESRD patients: Avg. Annual Mortality rates
0,113.08,125.47,196.71,477.94,264.79,32.5,8.77,4.39
1,136.7,179.64,328.76,368.55,276.32,39.0,14.52,0.925
2,150.48,215.61,371.43,355.67,254.96,52.0,21.31,0.505
3,154.13,237.36,377.23,324.62,291.63,65.0,24.3,0.565
4,185.35,279.75,378.87,241.78,287.43,78.0,25.54,1.45
5,216.22,297.12,402.38,250.95,296.27,78.0,28.95,1.995
6,222.39,302.7,405.47,252.19,275.76,78.0,25.79,2.845
7,224.26,295.92,416.77,262.73,279.46,78.0,22.62,3.59
8,240.38,273.71,398.49,213.03,301.41,78.0,27.83,4.14
9,236.79,283.81,370.62,231.51,286.21,78.0,25.0,4.515
10,254.68,281.58,350.28,224.34,260.98,71.5,24.78,5.98
11,231.03,302.54,351.56,229.6,293.79,71.5,25.27,7.54
12,252.4,281.31,349.98,221.59,278.02,71.5,25.06,9.675
13,245.8,279.82,330.53,225.31,280.37,71.5,24.46,12.035
14,241.56,264.24,315.03,228.39,255.74,65.0,20.26,15.475
15,255.58,253.12,321.44,237.61,276.53,65.0,21.53,20.19
16,254.77,227.69,277.81,250.51,262.55,65.0,20.51,25.35
17,219.3,211.55,260.14,273.94,266.97,65.0,18.88,37.59
