age_from,age_to,Gender,vegetables_recommended_low,vegetables_recommended_high,Actual Vegetable Intake,vegetables_ratio,protein_recommended_low,protein_recommended_high,Actual Protein Intake,protein_ratio,grains_recommended_low,grains_recommended_high,Actual Grain Intake,grain_ratio,dairy_recommended_low,dairy_recommended_high,Actual Dairy Intake,dairy_ratio,fruits_recommended_low,fruits_recommended_high,Actual Fruit intakes,fruits_ratio,sugars_recommended,sugars_recommended_low,sugars_recommended_high,Actual Added Sugars Taken,sugars_ratio,oils_recommended_low,oils_recommended_high,Avg Fats oils and salad dressings taken,oils_ratio,ESRD patients: Avg. Annual Mortality rates,Dialysis patients: Avg. Annual Mortality rates,ESRD patients: Total (or %) deaths for target year,Dialysis patients: Total (or %) deaths for target year
0,4,Neutral,168.75,262.5,113.08,0.430780952,63.79,122.259375,125.47,1.026260767,92.14,148.834875,196.71,1.321666041,520.63,643.125,477.94,0.743152575,175,273.4375,264.79,0.968374857,26,23.4,28.6,32.5,1.136363636,15.38,18.75,8.77,0.467733333,4.39,6.665,32,27.5
5,9,Neutral,232.5,390,136.7,0.350512821,93.55,154.5075,179.64,1.162662007,119.07,181.4368,328.76,1.811980811,632.1,739.9,368.55,0.498107852,192.5,315,276.32,0.877206349,35,31.5,38.5,39,1.012987013,17.1,26.7,14.52,0.543820225,0.925,4.065,12.5,8
10,13,Neutral,262.5,450,150.48,0.3344,127.58,177.1875,215.61,1.216846561,141.75,226.796,371.43,1.637727297,710.5,759.5,355.67,0.468294931,262.5,350,254.96,0.728457143,45,40.5,49.5,52,1.050505051,19.5,31.5,21.31,0.676507937,0.505,1.115,8,3.5
14,17,Neutral,375,525,154.13,0.293580952,148.84,191.3625,237.36,1.240368411,170.1,255.1455,377.23,1.478489724,710.5,759.5,324.62,0.427412772,306.25,393.75,291.63,0.740647619,56.25,50.63,61.875,65,1.050505051,25.5,40.5,24.3,0.6,0.565,1.215,11.5,6
18,21,Neutral,403.13,525,185.35,0.353047619,159.47,191.3625,279.75,1.461885166,191.36,255.1455,378.87,1.484917429,710.5,759.5,241.78,0.318341014,306.25,393.75,287.43,0.729980952,62.5,56.25,68.75,78,1.134545455,26.63,38.25,25.54,0.667712418,1.45,3.13,57,41.5
22,24,Neutral,412.5,525,216.22,0.411847619,163.01,191.3625,297.12,1.552655301,198.45,255.1455,402.38,1.577060932,710.5,759.5,250.95,0.330414747,306.25,393.75,296.27,0.752431746,60,54,66,78,1.181818182,27,37.5,28.95,0.772,1.995,3.455,95,81
25,29,Neutral,412.5,525,222.39,0.4236,163.01,191.3625,302.7,1.581814619,198.45,255.1455,405.47,1.589171669,710.5,759.5,252.19,0.3320474,306.25,393.75,275.76,0.700342857,60,54,66,78,1.181818182,27,37.5,25.79,0.687733333,2.845,4.68,354,311
30,34,Neutral,412.5,525,224.26,0.427161905,157.34,185.6925,295.92,1.593602326,187.11,243.8057,416.77,1.709435013,710.5,759.5,262.73,0.345924951,306.25,393.75,279.46,0.709739683,60,54,66,78,1.181818182,27,36.3,22.62,0.623140496,3.59,5.705,703,620
35,39,Neutral,412.5,525,240.38,0.457866667,155.93,184.275,273.71,1.485334419,184.27,240.97075,398.49,1.653686184,710.5,759.5,213.03,0.280487163,306.25,393.75,301.41,0.765485714,60,54,66,78,1.181818182,27,36,27.83,0.773055556,4.14,6.46,1120.5,1001.5
40,44,Neutral,412.5,525,236.79,0.451028571,155.93,184.275,283.81,1.540143807,184.27,240.97075,370.62,1.538028993,710.5,759.5,231.51,0.30481896,306.25,393.75,286.21,0.72688254,56,50.4,61.6,78,1.266233766,27,36,25,0.694444444,4.515,6.815,1824.5,1611
45,49,Neutral,412.5,525,254.68,0.485104762,155.93,184.275,281.58,1.528042328,184.27,240.97075,350.28,1.453620408,710.5,759.5,224.34,0.295378539,306.25,393.75,260.98,0.662806349,55,49.5,60.5,71.5,1.181818182,27,36,24.78,0.688333333,5.98,8.735,3301.5,2893
50,54,Neutral,352.5,495,231.03,0.466727273,150.25,184.275,302.54,1.641785375,161.59,240.97075,351.56,1.458932256,710.5,759.5,229.6,0.302304147,306.25,393.75,293.79,0.746133333,55,49.5,60.5,71.5,1.181818182,24.6,33.6,25.27,0.752083333,7.54,10.6,5466,4798.5
55,59,Neutral,337.5,487.5,252.4,0.51774359,148.84,184.275,281.31,1.526577127,155.92,240.97075,349.98,1.452375444,710.5,759.5,221.59,0.291757735,306.25,393.75,278.02,0.70608254,55,49.5,60.5,71.5,1.181818182,24,33,25.06,0.759393939,9.675,12.955,8585.5,7515
60,64,Neutral,337.5,487.5,245.8,0.504205128,148.84,184.275,279.82,1.518491385,155.92,240.97075,330.53,1.371660253,710.5,759.5,225.31,0.296655695,306.25,393.75,280.37,0.712050794,51,45.9,56.1,71.5,1.274509804,24,33,24.46,0.741212121,12.035,15.55,11710.5,10175
65,69,Neutral,337.5,487.5,241.56,0.495507692,148.84,184.275,264.24,1.433943834,155.92,240.97075,315.03,1.307337094,710.5,759.5,228.39,0.300710994,306.25,393.75,255.74,0.649498413,50,45,55,65,1.181818182,24,33,20.26,0.613939394,15.475,19.285,15064,13041
70,74,Neutral,337.5,487.5,255.58,0.524266667,148.84,184.275,253.12,1.37359924,155.92,240.97075,321.44,1.333937833,710.5,759.5,237.61,0.31285056,306.25,393.75,276.53,0.702298413,50,45,55,65,1.181818182,24,33,21.53,0.652424242,20.19,23.96,15060,13032.5
75,79,Neutral,337.5,487.5,254.77,0.522605128,148.84,184.275,227.69,1.235598969,155.92,240.97075,277.81,1.152878513,710.5,759.5,250.51,0.329835418,306.25,393.75,262.55,0.666793651,50,45,55,65,1.181818182,24,33,20.51,0.621515152,25.35,28.05,14124.5,12452.5
80,84,Neutral,337.5,487.5,219.3,0.449846154,148.84,184.275,211.55,1.148012481,155.92,240.97075,260.14,1.079550111,710.5,759.5,273.94,0.360684661,306.25,393.75,266.97,0.678019048,50,45,55,65,1.181818182,24,33,18.88,0.572121212,37.59,38.8,11414,10768
