"FMTNAME","START","LABEL",
"DRDIFDCD","11000000.0","MILK, HUMAN",
"DRDIFDCD","11100000.0","MILK, NFS",
"DRDIFDCD","11111000.0","MILK, COW'S, FLUID, WHOLE",
"DRDIFDCD","11111100.0","MILK, COW'S, FLUID, WHOLE, LOW SODIUM",
"DRDIFDCD","11112000.0","MILK, COW'S, FLUID, NOT WHOLE, NS AS TO % FAT",
"DRDIFDCD","11112110.0","MILK, COW'S, FLUID, 2% FAT",
"DRDIFDCD","11112130.0","MILK, COW'S, FLUID, ACIDOPHILUS, 2% FAT",
"DRDIFDCD","11112210.0","MILK, COW'S, FLUID, 1% FAT",
"DRDIFDCD","11113000.0","MILK, COW'S, FLUID, SKIM OR NONFAT",
"DRDIFDCD","11114300.0","MILK, LOW LACTOSE, 1% FAT",
"DRDIFDCD","11114320.0","MILK, LOW LACTOSE, NONFAT",
"DRDIFDCD","11114330.0","MILK, COW'S FL LACTOSE REDUCED 2% FAT (LACTAID)",
"DRDIFDCD","11115000.0","BUTTERMILK, FLUID (INCLUDE KEFIR MILK)",
"DRDIFDCD","11115200.0","BUTTERMILK, FLUID, 2% FAT",
"DRDIFDCD","11116000.0","MILK, GOAT'S, FLUID, WHOLE",
"DRDIFDCD","11120000.0","MILK, DRY, RECONSTITUTED, NFS",
"DRDIFDCD","11121100.0","MILK, DRY, RECONSTITUTED, WHOLE",
"DRDIFDCD","11121210.0","MILK, DRY, RECONSTITUTED, LOWFAT",
"DRDIFDCD","11121300.0","MILK, DRY, RECONSTITUTED, NONFAT",
"DRDIFDCD","11210000.0","MILK, EVAPORATED, NS AS TO FAT CONTENT & DILUTION",
"DRDIFDCD","11210050.0","MILK, EVAPORATED, NS FAT & DILUTION, IN COFFEE/TEA",
"DRDIFDCD","11210100.0","MILK, EVAPORATED, NS AS TO FAT, UNDILUTED",
"DRDIFDCD","11211000.0","MILK, EVAPORATED, WHOLE, NS AS TO DILUTION",
"DRDIFDCD","11211050.0","MILK, EVAPORATED, WHOLE, IN COFFEE/TEA",
"DRDIFDCD","11211100.0","MILK, EVAPORATED, WHOLE, UNDILUTED",
"DRDIFDCD","11211200.0","MILK, EVAPORATED, WHOLE, DILUTED",
"DRDIFDCD","11212050.0","MILK, EVAPORATED, SKIM, IN COFFEE/TEA",
