"DRXFDCD","DRXFCSD","DRXFCLD",
"11000000.0","MILK, HUMAN","Milk, human",
"11100000.0","MILK, NFS","Milk, NFS",
"11111000.0","MILK, WHOLE","Milk, whole",
"11111100.0","MILK, LOW SODIUM, WHOLE","Milk, low sodium, whole",
"11111150.0","MILK, CALCIUM FORTIFIED, WHOLE","Milk, calcium fortified, whole",
"11111160.0","MILK, CALCIUM FORTIFIED, LOW FAT (1%)","Milk, calcium fortified, low fat (1%)",
"11111170.0","MILK, CALCIUM FORTIFIED, FAT FREE (SKIM)","Milk, calcium fortified, fat free (skim)",
"11112110.0","MILK, REDUCED FAT (2%)","Milk, reduced fat (2%)",
"11112120.0","MILK, ACIDOPHILUS, LOW FAT (1%)","Milk, acidophilus, low fat (1%)",
"11112130.0","MILK, ACIDOPHILUS, REDUCED FAT (2%)","Milk, acidophilus, reduced fat (2%)",
"11112210.0","MILK, LOW FAT (1%)","Milk, low fat (1%)",
"11113000.0","MILK, FAT FREE (SKIM)","Milk, fat free (skim)",
"11114300.0","MILK, LACTOSE FREE, LOW FAT (1%)","Milk, lactose free, low fat (1%)",
"11114320.0","MILK, LACTOSE FREE, FAT FREE (SKIM)","Milk, lactose free, fat free (skim)",
"11114330.0","MILK, LACTOSE FREE, REDUCED FAT (2%)","Milk, lactose free, reduced fat (2%)",
"11114350.0","MILK, LACTOSE FREE, WHOLE","Milk, lactose free, whole",
"11115000.0","BUTTERMILK, FAT FREE (SKIM)","Buttermilk, fat free (skim)",
"11115100.0","BUTTERMILK, LOW FAT (1%)","Buttermilk, low fat (1%)",
"11115200.0","BUTTERMILK, REDUCED FAT (2%)","Buttermilk, reduced fat (2%)",
"11115300.0","BUTTERMILK, WHOLE","Buttermilk, whole",
"11115400.0","KEFIR, NS AS TO FAT CONTENT","Kefir, NS as to fat content",
"11116000.0","GOAT'S MILK, WHOLE","Goat's milk, whole",
"11120000.0","MILK, DRY, RECONSTITUTED, NS AS TO FAT CONTENT","Milk, dry, reconstituted, NS as to fat content",
"11121100.0","MILK, DRY, RECONSTITUTED, WHOLE","Milk, dry, reconstituted, whole",
"11121210.0","MILK, DRY, RECONSTITUTED, LOW FAT (1%)","Milk, dry, reconstituted, low fat (1%)",
"11121300.0","MILK, DRY, RECONSTITUTED, FAT FREE (SKIM)","Milk, dry, reconstituted, fat free (skim)",
"11210050.0","MILK, EVAPORATED, NS AS TO FAT CONTENT","Milk, evaporated, NS as to fat content",
"11211050.0","MILK, EVAPORATED, WHOLE","Milk, evaporated, whole",
"11211400.0","MILK, EVAPORATED, REDUCED FAT (2%)","Milk, evaporated, reduced fat (2%)",
"11212050.0","MILK, EVAPORATED, FAT FREE (SKIM)","Milk, evaporated, fat free (skim)",
"11220000.0","MILK, CONDENSED, SWEETENED","Milk, condensed, sweetened",
"11320000.0","SOY MILK","Soy milk",
"11320100.0","SOY MILK, LIGHT","Soy milk, light",
"11320200.0","SOY MILK, NONFAT","Soy milk, nonfat",
"11321000.0","SOY MILK, CHOCOLATE","Soy milk, chocolate",
"11321100.0","SOY MILK, LIGHT, CHOCOLATE","Soy milk, light, chocolate",
"11321200.0","SOY MILK, NONFAT, CHOCOLATE","Soy milk, nonfat, chocolate",
"11340000.0","IMITATION MILK, NON-SOY, SWEETENED","Imitation milk, non-soy, sweetened",
"11350000.0","ALMOND MILK, SWEETENED","Almond milk, sweetened",
"11350010.0","ALMOND MILK, SWEETENED, CHOCOLATE","Almond milk, sweetened, chocolate",
"11350020.0","ALMOND MILK, UNSWEETENED","Almond milk, unsweetened",
"11350030.0","ALMOND MILK, UNSWEETENED, CHOCOLATE","Almond milk, unsweetened, chocolate",
"11360000.0","RICE MILK","Rice milk",
"11370000.0","COCONUT MILK","Coconut milk",
"11410000.0","YOGURT, NS AS TO TYPE OF MILK/FLAVOR","Yogurt, NS as to type of milk or flavor",
"11411010.0","YOGURT, PLAIN, NS AS TO TYPE OF MILK","Yogurt, plain, NS as to type of milk",
"11411100.0","YOGURT, PLAIN, WHOLE MILK","Yogurt, plain, whole milk",
"11411200.0","YOGURT, PLAIN, LOW FAT MILK","Yogurt, plain, low fat milk",
"11411300.0","YOGURT, PLAIN, NONFAT MILK","Yogurt, plain, nonfat milk",
"11411400.0","YOGURT, GREEK, PLAIN, WHOLE MILK","Yogurt, Greek, plain, whole milk",
"11411410.0","YOGURT, GREEK, PLAIN, LOW FAT","Yogurt, Greek, plain, low fat",
"11411420.0","YOGURT, GREEK, PLAIN, NONFAT MILK","Yogurt, Greek, plain, nonfat milk",
"11420000.0","YOGURT, VANILLA, NS AS TO TYPE OF MILK","Yogurt, vanilla, NS as to type of milk",
"11421000.0","YOGURT, VANILLA, WHOLE MILK","Yogurt, vanilla, whole milk",
"11422000.0","YOGURT, VANILLA, LOW FAT MILK","Yogurt, vanilla, low fat milk",
"11422100.0","YOGURT, VANILLA, LOW FAT MILK, LIGHT","Yogurt, vanilla, low fat milk, light",
"11423000.0","YOGURT, VANILLA, NONFAT MILK","Yogurt, vanilla, nonfat milk",
"11424000.0","YOGURT, VANILLA, NONFAT MILK, LIGHT","Yogurt, vanilla, nonfat milk, light",
"11424500.0","YOGURT, GREEK, VANILLA, WHOLE MILK","Yogurt, Greek, vanilla, whole milk",
"11424510.0","YOGURT, GREEK, VANILLA, LOW FAT","Yogurt, Greek, vanilla, low fat",
"11424520.0","YOGURT, GREEK, VANILLA, NONFAT","Yogurt, Greek, vanilla, nonfat",
"11425000.0","YOGURT, CHOCOLATE, NS AS TO TYPE OF MILK","Yogurt, chocolate, NS as to type of milk",
"11426000.0","YOGURT, CHOCOLATE, WHOLE MILK","Yogurt, chocolate, whole milk",
"11427000.0","YOGURT, CHOCOLATE, NONFAT MILK","Yogurt, chocolate, nonfat milk",
"11428000.0","YOGURT, GREEK, CHOCOLATE, NONFAT","Yogurt, Greek, chocolate, nonfat",
"11430000.0","YOGURT, FRUIT, NS AS TO TYPE OF MILK","Yogurt, fruit, NS as to type of milk",
"11431000.0","YOGURT, FRUIT, WHOLE MILK","Yogurt, fruit, whole milk",
"11432000.0","YOGURT, FRUIT, LOW FAT MILK","Yogurt, fruit, low fat milk",
"11432500.0","YOGURT, FRUIT, LOW FAT MILK, LIGHT","Yogurt, fruit, low fat milk, light",
"11433000.0","YOGURT, FRUIT, NONFAT MILK","Yogurt, fruit, nonfat milk",
"11433500.0","YOGURT, FRUIT, NONFAT MILK, LIGHT","Yogurt, fruit, nonfat milk, light",
"11434000.0","YOGURT, GREEK, FRUIT, WHOLE MILK","Yogurt, Greek, fruit, whole milk",
"11434010.0","YOGURT, GREEK, FRUIT, LOW FAT","Yogurt, Greek, fruit, low fat",
"11434020.0","YOGURT, GREEK, FRUIT, NONFAT","Yogurt, Greek, fruit, nonfat",
"11446000.0","FRUIT AND LOW FAT YOGURT PARFAIT","Fruit and low fat yogurt parfait",
"11459990.0","YOGURT, FROZEN, NS AS TO FLAVOR, NS TO TYPE OF MILK","Yogurt, frozen, NS as to flavor, NS as to type of milk",
"11460000.0","YOGURT, FROZEN, NOT CHOCOLATE, TYPE OF MILK NS","Yogurt, frozen, flavors other than chocolate, NS as to type of milk",
"11460100.0","YOGURT, FROZEN, CHOCOLATE, TYPE OF MILK NS","Yogurt, frozen, chocolate, NS as to type of milk",
"11460150.0","YOGURT, FROZEN, NS AS TO FLAVOR, LOWFAT MILK","Yogurt, frozen, NS as to flavor, lowfat milk",
"11460160.0","YOGURT, FROZEN, CHOCOLATE, LOWFAT MILK","Yogurt, frozen, chocolate, lowfat milk",
"11460170.0","YOGURT, FROZEN, NOT CHOCOLATE, LOWFAT MILK","Yogurt, frozen, flavors other than chocolate, lowfat milk",
"11460190.0","YOGURT, FROZEN, NS AS TO FLAVOR, NONFAT MILK","Yogurt, frozen, NS as to flavor, nonfat milk",
"11460200.0","YOGURT, FROZEN, CHOCOLATE, NONFAT MILK","Yogurt, frozen, chocolate, nonfat milk",
"11460250.0","YOGURT,FROZEN,NOT CHOCOLATE,W/ SORBET/SORBET-COATED","Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated",
"11460300.0","YOGURT, FROZEN, NOT CHOCOLATE, NONFAT MILK","Yogurt, frozen, flavors other than chocolate, nonfat milk",
"11460400.0","YOGURT,FRZ,CHOCOLATE,NONFAT MILK,W/ LOW-CAL SWEET","Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener",
"11460410.0","YOGURT,FRZ,NOT CHOC,NONFAT MILK,W/ LOW-CAL SWEET","Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener",
"11460420.0","YOGURT, FROZEN, NS AS TO FLAVOR, WHOLE MILK","Yogurt, frozen, NS as to flavor, whole milk",
"11460430.0","YOGURT, FROZEN, CHOCOLATE, WHOLE MILK","Yogurt, frozen, chocolate, whole milk",
"11460440.0","YOGURT, FROZEN, NOT CHOCOLATE, WHOLE MILK","Yogurt, frozen, flavors other than chocolate, whole milk",
"11461000.0","YOGURT, FROZEN, CHOCOLATE-COATED","Yogurt, frozen, chocolate-coated",
"11461200.0","YOGURT, FROZEN, SANDWICH","Yogurt, frozen, sandwich",
"11461250.0","YOGURT, FROZEN, CONE, CHOCOLATE","Yogurt, frozen, cone, chocolate",
"11461260.0","YOGURT, FROZEN, CONE, NOT CHOCOLATE","Yogurt, frozen, cone, flavors other than chocolate",
"11461270.0","YOGURT, FROZEN, CONE, NOT CHOCOLATE, LOWFAT MILK","Yogurt, frozen, cone, flavors other than chocolate, lowfat milk",
"11461280.0","YOGURT, FROZ, CONE, CHOCOLATE, LOWFAT MILK","Yogurt, frozen, cone, chocolate, lowfat milk",
"11480010.0","YOGURT, WHOLE MILK, BF","Yogurt, whole milk, baby food",
"11480020.0","YOGURT, WHOLE MILK, BF, W/FRUIT& MULTIGRAIN CEREAL,NFS","Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",
"11480030.0","YOGURT, WHOLE MILK, BF, W/FRUIT&MULTIGRAIN CEREAL + IRON","Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",
"11480040.0","YOGURT, WHOLE MILK, BF, W/FRUIT&MULTIGRAIN CEREAL + DHA","Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",
"11511000.0","CHOCOLATE MILK, NFS","Chocolate milk, NFS",
"11511100.0","CHOCOLATE MILK, READY TO DRINK, WHOLE","Chocolate milk, ready to drink, whole",
"11511200.0","CHOCOLATE MILK, READY TO DRINK, REDUCED FAT (2%)","Chocolate milk, ready to drink, reduced fat (2%)",
"11511300.0","CHOCOLATE MILK, READY TO DRINK, FAT FREE (SKIM)","Chocolate milk, ready to drink, fat free (skim)",
"11511400.0","CHOCOLATE MILK, READY TO DRINK, LOW FAT (1%)","Chocolate milk, ready to drink, low fat (1%)",
"11511550.0","CHOCOLATE MILK, READY TO DRINK, REDUCED SUGAR, NS AS TO MILK","Chocolate milk, ready to drink, reduced sugar, NS as to milk",
"11511600.0","NESQUIK, CHOCOLATE MILK, READY TO DRINK, LOW FAT (1%)","Nesquik, chocolate milk, ready to drink, low fat (1%)",
"11511610.0","NESQUIK, CHOCOLATE MILK, READY TO DRINK, FAT FREE (SKIM)","Nesquik, chocolate milk, ready to drink, fat free (skim)",
"11511700.0","NESQUIK, CHOC MILK, READY TO DRINK, LOW FAT (1%), NO SUG ADD","Nesquik, chocolate milk, ready to drink, low fat (1%), no sugar added",
"11512010.0","HOT CHOCOLATE / COCOA, READY TO DRINK","Hot chocolate / Cocoa, ready to drink",
"11512020.0","HOT CHOCOLATE / COCOA, READY TO DRINK, MADE WITH NONFAT MILK","Hot chocolate / Cocoa, ready to drink, made with nonfat milk",
"11512030.0","HOT CHOCO / COCOA, READY TO DRINK, MADE WITH NON-DAIRY MILK","Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",
"11512100.0","HOT CHOCOLATE / COCOA, READY TO DRINK, WITH WHIPPED CREAM","Hot chocolate / Cocoa, ready to drink, with whipped cream",
"11512110.0","HOT CHOC, READY TO DRINK, MADE W/ NONFAT MILK & WHIP CREAM","Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",
"11512120.0","HOT CHOCO, READY TO DRINK, MADE W/ NODAIRY MILK & WHIP CREAM","Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",
"11513000.0","CHOCOLATE MILK, MADE FROM DRY MIX, NS AS TO TYPE OF MILK","Chocolate milk, made from dry mix, NS as to type of milk",
"11513100.0","CHOCOLATE MILK, MADE FROM DRY MIX WITH WHOLE MILK","Chocolate milk, made from dry mix with whole milk",
"11513150.0","CHOCOLATE MILK, MADE FROM DRY MIX WITH REDUCED FAT MILK (2%)","Chocolate milk, made from dry mix with reduced fat milk (2%)",
"11513200.0","CHOCOLATE MILK, MADE FROM DRY MIX WITH LOW FAT MILK (1%)","Chocolate milk, made from dry mix with low fat milk (1%)",
"11513300.0","CHOCOLATE MILK, MADE FROM DRY MIX WITH FAT FREE MILK (SKIM)","Chocolate milk, made from dry mix with fat free milk (skim)",
"11513310.0","CHOCOLATE MILK, MADE FROM DRY MIX WITH NON-DAIRY MILK","Chocolate milk, made from dry mix with non-dairy milk",
"11513350.0","CHOC MILK, MADE FROM REDUCED SUGAR MIX, NS AS TO TYPE OF MIL","Chocolate milk, made from reduced sugar mix, NS as to type of milk",
"11513355.0","CHOCOLATE MILK, MADE FROM REDUCED SUGAR MIX WITH WHOLE MILK","Chocolate milk, made from reduced sugar mix with whole milk",
"11513360.0","CHOC MILK, MADE FROM RED SUGAR MIX WITH RED FAT MILK (2%)","Chocolate milk, made from reduced sugar mix with reduced fat milk (2%)",
"11513365.0","CHOC MILK, MADE FROM RED SUGAR MIX WITH LOW FAT MILK (1%)","Chocolate milk, made from reduced sugar mix with low fat milk (1%)",
"11513370.0","CHOC MILK, MADE FROM RED SUGAR MIX WITH FAT FREE MILK (SKIM)","Chocolate milk, made from reduced sugar mix with fat free milk (skim)",
"11513375.0","CHOC MILK, MADE FROM REDUCED SUGAR MIX WITH NON-DAIRY MILK","Chocolate milk, made from reduced sugar mix with non-dairy milk",
"11513380.0","NESQUIK, CHOC MILK, MADE FROM DRY MIX, NS AS TO TYPE OF MILK","Nesquik, chocolate milk, made from dry mix, NS as to type of milk",
"11513381.0","NESQUIK, CHOCOLATE MILK, MADE FROM DRY MIX WITH WHOLE MILK","Nesquik, chocolate milk, made from dry mix with whole milk",
