age,food_group,average_taken,recommended_low,recommended_high
1,dairy,367.5,300,375
1,fruits,225,150,225
1,grains,585,450,750
1,protein,405,300,600
1,vegetable,105,150,225
1,Fats Oils Salad dressings,10.5,15,16.5
2,dairy,367.5,300,375
2,fruits,225,150,225
2,grains,585,450,750
2,protein,405,300,600
2,vegetable,105,150,225
2,Fats Oils Salad dressings,10.5,15,16.5
3,dairy,367.5,300,375
3,fruits,225,150,225
3,grains,585,450,750
3,protein,405,300,600
3,vegetable,105,150,225
3,Fats Oils Salad dressings,10.5,15,16.5
4,dairy,322.5,375,450
4,fruits,180,150,262.5
4,grains,877.5,600,900
4,protein,540,450,787.5
4,vegetable,120,225,375
4,Fats Oils Salad dressings,15,16.5,25.5
5,dairy,322.5,375,450
5,fruits,180,150,262.5
5,grains,877.5,600,900
5,protein,540,450,787.5
5,vegetable,120,225,375
5,Fats Oils Salad dressings,15,16.5,25.5
6,dairy,322.5,375,450
6,fruits,180,150,262.5
6,grains,877.5,600,900
6,protein,540,450,787.5
6,vegetable,120,225,375
6,Fats Oils Salad dressings,15,16.5,25.5
7,dairy,322.5,375,450
7,fruits,180,150,262.5
7,grains,877.5,600,900
7,protein,540,450,787.5
7,vegetable,120,225,375
7,Fats Oils Salad dressings,15,16.5,25.5
8,dairy,322.5,375,450
8,fruits,180,150,262.5
8,grains,877.5,600,900
8,protein,540,450,787.5
8,vegetable,120,225,375
8,Fats Oils Salad dressings,15,16.5,25.5
9,dairy,330,435,465
9,fruits,165,225,300
9,grains,1035,750,1200
9,protein,682.5,675,937.5
9,vegetable,157.5,262.5,450
9,Fats Oils Salad dressings,18,19.5,31.5
10,dairy,330,435,465
10,fruits,165,225,300
10,grains,1035,750,1200
10,protein,682.5,675,937.5
10,vegetable,157.5,262.5,450
10,Fats Oils Salad dressings,18,19.5,31.5
11,dairy,330,435,465
11,fruits,165,225,300
11,grains,1035,750,1200
11,protein,682.5,675,937.5
11,vegetable,157.5,262.5,450
11,Fats Oils Salad dressings,18,19.5,31.5
12,dairy,330,435,465
12,fruits,165,225,300
12,grains,1035,750,1200
12,protein,682.5,675,937.5
12,vegetable,157.5,262.5,450
12,Fats Oils Salad dressings,18,19.5,31.5
13,dairy,330,435,465
13,fruits,165,225,300
13,grains,1035,750,1200
13,protein,682.5,675,937.5
13,vegetable,157.5,262.5,450
13,Fats Oils Salad dressings,18,19.5,31.5
14,dairy,307.5,435,465
14,fruits,135,262.5,337.5
14,grains,1072.5,900,1350
14,protein,765,787.5,1012.5
14,vegetable,180,375,525
14,Fats Oils Salad dressings,21,25.5,40.5
15,dairy,307.5,435,465
15,fruits,135,262.5,337.5
15,grains,1072.5,900,1350
15,protein,765,787.5,1012.5
15,vegetable,180,375,525
15,Fats Oils Salad dressings,21,25.5,40.5
16,dairy,307.5,435,465
16,fruits,135,262.5,337.5
16,grains,1072.5,900,1350
16,protein,765,787.5,1012.5
16,vegetable,180,375,525
