age,subgroup,average_taken,recommended_low,recommended_high
1,dark green vegetables,37.5,75,150
1,legumes beans and peas,60,60,90
1,meat poultry and eggs,2400,1500,2850
1,nuts seeds and soy products,300,300,450
1,other vegetables,172.5,225,375
1,red and orange vegetables,217.5,375,450
1,seafood,150,450,900
1,starchy vegetables,232.5,300,525
1,seafood,150,450,900
1,seafood,150,450,900
2,dark green vegetables,37.5,75,150
2,legumes beans and peas,60,60,90
2,meat poultry and eggs,2400,1500,2850
2,nuts seeds and soy products,300,300,450
2,other vegetables,172.5,225,375
2,red and orange vegetables,217.5,375,450
2,seafood,150,450,900
2,starchy vegetables,232.5,300,525
2,seafood,150,450,900
2,seafood,150,450,900
3,dark green vegetables,37.5,75,150
3,legumes beans and peas,60,60,90
3,meat poultry and eggs,2400,1500,2850
3,nuts seeds and soy products,300,300,450
3,other vegetables,172.5,225,375
3,red and orange vegetables,217.5,375,450
3,seafood,150,450,900
3,starchy vegetables,232.5,300,525
3,seafood,150,450,900
3,seafood,150,450,900
4,dark green vegetables,60,150,225
4,legumes beans and peas,60,75,225
4,meat poultry and eggs,3300,2100,3750
4,nuts seeds and soy products,450,300,675
4,other vegetables,202.5,375,600
4,red and orange vegetables,270,450,825
4,seafood,150,600,1200
4,starchy vegetables,330,525,750
4,seafood,150,600,1200
4,seafood,150,600,1200
5,dark green vegetables,60,150,225
5,legumes beans and peas,60,75,225
5,meat poultry and eggs,3300,2100,3750
5,nuts seeds and soy products,450,300,675
5,other vegetables,202.5,375,600
5,red and orange vegetables,270,450,825
5,seafood,150,600,1200
5,starchy vegetables,330,525,750
5,seafood,150,600,1200
5,seafood,150,600,1200
6,dark green vegetables,60,150,225
6,legumes beans and peas,60,75,225
6,meat poultry and eggs,3300,2100,3750
6,nuts seeds and soy products,450,300,675
6,other vegetables,202.5,375,600
6,red and orange vegetables,270,450,825
6,seafood,150,600,1200
6,starchy vegetables,330,525,750
6,seafood,150,600,1200
6,seafood,150,600,1200
7,dark green vegetables,60,150,225
7,legumes beans and peas,60,75,225
7,meat poultry and eggs,3300,2100,3750
7,nuts seeds and soy products,450,300,675
7,other vegetables,202.5,375,600
7,red and orange vegetables,270,450,825
7,seafood,150,600,1200
7,starchy vegetables,330,525,750
7,seafood,150,600,1200
7,seafood,150,600,1200
